
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_NDWI
Brazil,Amazonas,Stable_Forest,-59.64323904723778,-8.131594867614114,2019,253.638321,220.0,259.5,415.5,266.5,643.5,1927.5,2462.5,2492.0,2753.0,2982.5,1314.5,545.0,62.0,3094.0,4.0,27.0,43.0,26.0,0.8067790269851685,2.5929162297564954,-0.7141874432563782
Brazil,Amazonas,Stable_Forest,-61.43924079477794,-11.841187833385678,2019,7.637105941772461,462.0,342.0,607.0,521.0,1293.0,2372.0,2795.0,3018.0,3272.0,3177.0,3138.0,1745.0,69.0,2826.0,4.0,53.0,62.0,35.0,0.7055665254592896,1.7437150837988826,-0.6651034355163574
Brazil,Amazonas,Stable_Forest,-62.55701450280785,-11.065223090963237,2019,87.042992,247.5,254.0,442.5,243.5,679.5,2151.5,2681.5,3079.0,3070.5,2669.0,1492.5,617.0,64.0,3090.0,4.0,25.5,45.5,26.0,0.8534236550331116,2.6892071320182094,-0.7486866116523743
Brazil,Amazonas,Stable_Forest,-64.76947521606583,-9.266885723684366,2019,234.484131,213.5,235.5,405.0,234.5,606.5,1840.0,2360.5,2494.0,2712.5,2958.0,1205.5,470.5,153.0,3462.5,4.0,24.5,42.0,23.5,0.8281106948852539,2.6448554372000466,-0.7205933332443237
Brazil,Amazonas,Stable_Forest,-64.38427762223537,-9.074646252882788,2019,173.921509,248.0,295.0,442.0,295.0,712.0,1760.0,2346.0,2136.0,2614.0,2842.0,1353.0,582.0,76.0,3534.0,4.0,31.0,45.0,31.0,0.7573015093803406,2.716140454411331,-0.6570985317230225
Brazil,Amazonas,Stable_Forest,-58.62697496631336,-6.823468150879267,2019,298.567474,135.0,181.5,306.5,151.5,565.5,1986.5,2616.0,2508.0,2915.5,3149.0,1198.5,474.0,61.0,3575.5,4.0,16.0,31.5,19.0,0.8860688209533691,2.86434909444512,-0.7821993231773376
Brazil,Amazonas,Stable_Forest,-61.36441113161078,-7.94088253279554,2019,219.169601,244.5,315.5,467.0,294.5,731.0,2069.5,2558.0,2871.5,2958.0,2833.0,1433.5,587.0,138.5,3284.5,4.0,30.0,48.0,31.0,0.8139608502388,2.8340481689211483,-0.7202336192131042
Brazil,Amazonas,Stable_Forest,-58.166139225560045,-7.4101578629377265,2019,130.333771,326.0,300.0,472.0,274.0,815.0,2474.0,3212.0,2898.0,3598.0,3413.0,1601.0,644.0,94.0,3291.0,4.0,28.0,48.0,31.0,0.8272383213043213,2.8608809419973835,-0.7198812961578369
Brazil,Amazonas,Stable_Forest,-57.68877448357893,-10.774438433493748,2019,0.3750239908695221,341.0,371.0,631.0,550.0,1257.0,2249.0,2584.0,2662.0,2973.0,3089.0,2330.0,1221.0,64.0,2751.0,4.0,56.0,65.0,38.0,0.6575342416763306,1.6601163339097627,-0.6167628169059753
Brazil,Amazonas,Stable_Forest,-56.85073615502383,-7.4279445055632936,2019,215.618683,223.0,187.0,313.0,164.0,536.0,1689.0,2157.0,2143.0,2524.0,3128.0,1243.0,499.0,63.0,2660.0,4.0,18.0,33.0,20.0,0.8578240275382996,2.867284844972472,-0.7451140284538269
